fpr,tpr,thresholds
0.0,0.72,0.99035
0.0,13.67,0.97891
0.0,15.11,0.97831
0.0,20.86,0.97155
0.0,22.3,0.97125
0.0,42.45,0.93267
0.61,42.45,0.92753
0.61,51.08,0.90526
1.22,51.08,0.90444
1.22,61.15,0.86409
1.83,61.15,0.86208
1.83,64.75,0.84077
3.66,64.75,0.83697
3.66,68.35,0.80778
4.27,68.35,0.80105
4.27,71.94,0.77189
4.88,71.94,0.77023
4.88,74.82,0.73423
5.49,74.82,0.72685
5.49,77.7,0.67371
6.1,77.7,0.67367
6.1,81.29,0.63241
7.32,81.29,0.61984
7.32,82.01,0.61967
7.93,82.01,0.59619
7.93,82.73,0.58737
8.54,82.73,0.41191
8.54,84.17,0.40332
10.98,84.17,0.38355
10.98,85.61,0.37561
12.2,85.61,0.36808
12.2,86.33,0.36406
13.41,86.33,0.34956
13.41,87.77,0.3455
14.63,87.77,0.3431
14.63,88.49,0.34151
17.68,88.49,0.33002
17.68,89.21,0.3152
18.29,89.21,0.31277
18.29,90.65,0.30307
19.51,90.65,0.28846
19.51,92.09,0.28195
23.17,92.09,0.26563
23.17,92.81,0.26137
26.83,92.81,0.24877
26.83,94.24,0.24699
28.05,94.24,0.24333
28.05,95.68,0.2353
31.71,95.68,0.21792
31.71,97.12,0.21228
37.2,97.12,0.19216
37.2,97.84,0.19105
44.51,97.84,0.15281
44.51,98.56,0.14727
54.88,98.56,0.10645
54.88,99.28,0.10231
73.78,99.28,0.04418
73.78,100.0,0.04343
90.85,100.0,0.02042
92.07,100.0,0.02026
100.0,100.0,0.01284
